Department,Grade,Salary,Weekly,Daily,Hr,Min,Sec
Cabinet Office,AO,"21,722",417.73,83.55,11.29,0.19,0
Cabinet Office,AO (L),"25,277",486.1,97.22,13.14,0.22,0
Cabinet Office,Fast Stream,"28,000",538.46,107.69,14.55,0.24,0
Cabinet Office,EO,"24,327",467.83,93.57,12.64,0.21,0
Cabinet Office,EO (L),"28,050",539.42,107.88,14.58,0.24,0
Cabinet Office,HEO,"32,640",627.69,125.54,16.96,0.28,0
Cabinet Office,HEO (L),"35,241",677.71,135.54,18.32,0.31,0.01
Cabinet Office,SEO,"38,046",731.65,146.33,19.77,0.33,0.01
Cabinet Office,SEO (L),"41,412",796.38,159.28,21.52,0.36,0.01
Cabinet Office,G7,"50,694",974.88,194.98,26.35,0.44,0.01
Cabinet Office,G7 (L),"55,794","1,072.96",214.59,29,0.48,0.01
Cabinet Office,G6,"61,710","1,186.73",237.35,32.07,0.53,0.01
Cabinet Office,G6 (L),"65,790","1,265.19",253.04,34.19,0.57,0.01
Cabinet Office,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
Cabinet Office,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
Cabinet Office,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
Cabinet Office,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
NHS,Band 1,"20,270",389.81,77.96,10.54,0.18,0
NHS,Band 2,"20,270",389.81,77.96,10.54,0.18,0
NHS,Band 3,"21,730",417.88,83.58,11.29,0.19,0
NHS,Band 4,"23,949",460.56,92.11,12.45,0.21,0
NHS,Band 5,"27,055",520.29,104.06,14.06,0.23,0
NHS,Band 6,"33,706",648.19,129.64,17.52,0.29,0
NHS,Band 7,"41,659",801.13,160.23,21.65,0.36,0.01
NHS,Band 8a,"48,526",933.19,186.64,25.22,0.42,0.01
NHS,Band 8b,"56,164","1,080.08",216.02,29.19,0.49,0.01
NHS,Band 8c,"67,064","1,289.69",257.94,34.86,0.58,0.01
NHS,Band 8d,"79,592","1,530.62",306.12,41.37,0.69,0.01
NHS,Band 9,"95,135","1,829.52",365.9,49.45,0.82,0.01
Contractor,£400 Day Rate,"104,000","2,000.00",400,54.05,0.9,0.02
Contractor,£500 Day Rate,"130,000","2,500.00",500,67.57,1.13,0.02
Contractor,£600 Day Rate,"156,000","3,000.00",600,81.08,1.35,0.02
Contractor,£700 Day Rate,"182,000","3,500.00",700,94.59,1.58,0.03
Contractor,£800 Day Rate,"208,000","4,000.00",800,108.11,1.8,0.03
Contractor,£900 Day Rate,"234,000","4,500.00",900,121.62,2.03,0.03
Contractor,£1000 Day Rate,"260,000","5,000.00","1,000.00",135.14,2.25,0.04
National Medium Salary,18 to 21,"18,597",357.63,71.53,9.67,0.16,0
National Medium Salary,22 to 29,"27,492",528.69,105.74,14.29,0.24,0
National Medium Salary,30 to 39,"34,306",659.73,131.95,17.83,0.3,0
National Medium Salary,40 to 49,"36,961",710.79,142.16,19.21,0.32,0.01
National Medium Salary,50 to 59,"34,809",669.4,133.88,18.09,0.3,0.01
National Medium Salary,60 and over,"30,468",585.92,117.18,15.84,0.26,0
National Medium Salary,All Ages,"33,000",634.62,126.92,17.15,0.29,0
FCDO,AO,"23,948",460.54,92.11,12.45,0.21,0
FCDO,EO,"25,029",481.33,96.27,13.01,0.22,0
FCDO,HEO,"31,621",608.1,121.62,16.44,0.27,0
FCDO,SEO,"39,449",758.63,151.73,20.5,0.34,0.01
FCDO,G7,"49,955",960.67,192.13,25.96,0.43,0.01
FCDO,G6,"61,285","1,178.56",235.71,31.85,0.53,0.01
FCDO,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
FCDO,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
FCDO,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
FCDO,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
BEIS,AO,"22,440",431.54,86.31,11.66,0.19,0
BEIS,AO (L),"25,900",498.08,99.62,13.46,0.22,0
BEIS,Fast Stream,"30,230",581.35,116.27,15.71,0.26,0
BEIS,EO,"25,310",486.73,97.35,13.15,0.22,0
BEIS,EO (L),"28,510",548.27,109.65,14.82,0.25,0
BEIS,HEO,"31,120",598.46,119.69,16.17,0.27,0
BEIS,HEO (L),"34,410",661.73,132.35,17.88,0.3,0
BEIS,SEO,"37,470",720.58,144.12,19.48,0.32,0.01
BEIS,SEO (L),"41,055",789.52,157.9,21.34,0.36,0.01
BEIS,G7,"50,305",967.4,193.48,26.15,0.44,0.01
BEIS,G7 (L),"54,710","1,052.12",210.42,28.44,0.47,0.01
BEIS,G6,"61,580","1,184.23",236.85,32.01,0.53,0.01
BEIS,G6 (L),"65,996","1,269.15",253.83,34.3,0.57,0.01
BEIS,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
BEIS,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
BEIS,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
BEIS,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
DfE,EA,"22,015",423.37,84.67,11.44,0.19,0
DfE,EO,"25,900",498.08,99.62,13.46,0.22,0
DfE,EO (E),"26,936",518,103.6,14,0.23,0
DfE,HEO,"30,332",583.31,116.66,15.77,0.26,0
DfE,SEO,"37,593",722.94,144.59,19.54,0.33,0.01
DfE,G7,"51,357",987.63,197.53,26.69,0.44,0.01
DfE,G6,"62,540","1,202.69",240.54,32.51,0.54,0.01
DfE,EA (L),"25,123",483.13,96.63,13.06,0.22,0
DfE,EO  (L),"29,526",567.81,113.56,15.35,0.26,0
DfE,EO (E)  (L),"30,562",587.73,117.55,15.88,0.26,0
DfE,HEO (L),"34,031",654.44,130.89,17.69,0.29,0
DfE,SEO (L),"41,435",796.83,159.37,21.54,0.36,0.01
DfE,G7 (L),"55,022","1,058.12",211.62,28.6,0.48,0.01
DfE,G6 (L),"65,783","1,265.06",253.01,34.19,0.57,0.01
DfE,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
DfE,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
DfE,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
DfE,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
DFIT,AO,"21,673",416.79,83.36,11.26,0.19,0
DFIT,AO (L),"25,142",483.5,96.7,13.07,0.22,0
DFIT,Fast Stream,"29,437",566.1,113.22,15.3,0.25,0
DFIT,EO,"22,511",432.9,86.58,11.7,0.2,0
DFIT,EO (L),"26,245",504.71,100.94,13.64,0.23,0
DFIT,HEO,"28,070",539.81,107.96,14.59,0.24,0
DFIT,HEO (L),"31,804",611.62,122.32,16.53,0.28,0
DFIT,SEO,"34,424",662,132.4,17.89,0.3,0
DFIT,SEO (L),"38,158",733.81,146.76,19.83,0.33,0.01
DFIT,G7,"47,981",922.71,184.54,24.94,0.42,0.01
DFIT,G7 (L),"51,714",994.5,198.9,26.88,0.45,0.01
DFIT,G6,"58,130","1,117.88",223.58,30.21,0.5,0.01
DFIT,G6 (L),"61,863","1,189.67",237.93,32.15,0.54,0.01
DFIT,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
DFIT,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
DFIT,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
DFIT,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
DHSC,AO,"19,340",371.92,74.38,10.05,0.17,0
DHSC,EO,"23,690",455.58,91.12,12.31,0.21,0
DHSC,HEO,"28,966",557.04,111.41,15.06,0.25,0
DHSC,Fast Stream,"29,521",567.71,113.54,15.34,0.26,0
DHSC,SEO,"36,819",708.06,141.61,19.14,0.32,0.01
DHSC,G7,"49,529",952.48,190.5,25.74,0.43,0.01
DHSC,G6,"62,404","1,200.08",240.02,32.43,0.54,0.01
DHSC,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
DHSC,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
DHSC,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
DHSC,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
Home Office,AO,"22,400",430.77,86.15,11.64,0.19,0
Home Office,EO,"25,750",495.19,99.04,13.38,0.22,0
Home Office,HEO,"32,000",615.38,123.08,16.63,0.28,0
Home Office,HEO (L),"36,000",692.31,138.46,18.71,0.31,0.01
Home Office,SEO,"39,000",750,150,20.27,0.34,0.01
Home Office,SEO (L),"43,000",826.92,165.38,22.35,0.37,0.01
Home Office,G7,"54,000","1,038.46",207.69,28.07,0.47,0.01
Home Office,G7 (L),"59,000","1,134.62",226.92,30.67,0.51,0.01
Home Office,G6,"65,500","1,259.62",251.92,34.04,0.57,0.01
Home Office,G6 (L),"70,500","1,355.77",271.15,36.64,0.61,0.01
Home Office,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
Home Office,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
Home Office,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
Home Office,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
HMRC,AO,"28,016",538.77,107.75,14.56,0.24,0.00
HMRC,AO (L),"31,471",605.21,121.04,16.36,0.27,0.00
HMRC,EO,"31,096",598.00,119.60,16.16,0.27,0.00
HMRC,EO (L),"35,423",681.21,136.24,18.41,0.31,0.01
HMRC,HEO,"37,682",724.65,144.93,19.59,0.33,0.01
HMRC,HEO (L),"42,631",819.83,163.97,22.16,0.37,0.01
HMRC,SEO,"45,544",875.85,175.17,23.67,0.39,0.01
HMRC,SEO (L),"50,686",974.73,194.95,26.34,0.44,0.01
HMRC,G7,"58,541",1125.79,225.16,30.43,0.51,0.01
HMRC,G7 (L),"65,869",1266.71,253.34,34.24,0.57,0.01
HMRC,G6,"71,725",1379.33,275.87,37.28,0.62,0.01
HMRC,G6 (L),"78,988",1519.00,303.80,41.05,0.68,0.01
HMRC,DD,"73,000","1,403.85",280.77,37.94,0.63,0.01
HMRC,D,"95,000","1,826.92",365.38,49.38,0.82,0.01
HMRC,DG,"125,000","2,403.85",480.77,64.97,1.08,0.02
HMRC,Perm Sec,"200,000","3,846.15",769.23,103.95,1.73,0.03
